Bikes, EPFL, 32.0919, 0.9430
Bench_in_Paris, EPFL, 25.8724, 0.9075
Fountain_&_Bench, EPFL, 30.8437, 0.9235
Friends_1, EPFL, 35.1430, 0.9529
Sphynx, EPFL, 31.2032, 0.8873
Bee_2, INRIA, 34.7622, 0.9401
Duck, INRIA, 27.5149, 0.9295
Fruits, INRIA, 33.7069, 0.9490
Rose, INRIA, 38.4113, 0.9600
Mini, INRIA, 30.7796, 0.8759
Chess, STANFORD, 34.4479, 0.9661
Bunny, STANFORD, 38.3154, 0.9740
Lego Bulldozer, STANFORD, 30.2293, 0.9300
Lego Truck, STANFORD, 34.3365, 0.9518
Lego Knights, STANFORD, 31.0283, 0.9353
