Bikes, EPFL, 31.2922, 0.9456
Bench_in_Paris, EPFL, 24.5043, 0.8982
Fountain_&_Bench, EPFL, 29.9701, 0.9239
Friends_1, EPFL, 35.5686, 0.9563
Sphynx, EPFL, 29.4727, 0.8745
Bee_2, INRIA, 32.7676, 0.9500
Duck, INRIA, 26.1765, 0.9316
Fruits, INRIA, 29.8282, 0.9290
Rose, INRIA, 36.1273, 0.9501
Mini, INRIA, 29.0786, 0.8730
Chess, STANFORD, 32.9731, 0.9634
Bunny, STANFORD, 37.1869, 0.9726
Lego Bulldozer, STANFORD, 29.0283, 0.9289
Lego Truck, STANFORD, 32.4234, 0.9477
Lego Knights, STANFORD, 29.3942, 0.9252
