Bikes, EPFL, 27.9667, 0.9103
Bench_in_Paris, EPFL, 24.0451, 0.8658
Fountain_&_Bench, EPFL, 28.9587, 0.9040
Friends_1, EPFL, 32.2827, 0.9325
Sphynx, EPFL, 28.8073, 0.8442
Bee_2, INRIA, 31.8213, 0.9332
Duck, INRIA, 25.3698, 0.9070
Fruits, INRIA, 30.4468, 0.9170
Rose, INRIA, 35.3347, 0.9339
Mini, INRIA, 28.9950, 0.8444
Chess, STANFORD, 33.3087, 0.9627
Bunny, STANFORD, 36.9547, 0.9718
Lego Bulldozer, STANFORD, 29.6546, 0.9303
Lego Truck, STANFORD, 33.2703, 0.9442
Lego Knights, STANFORD, 30.6818, 0.9318
