Bikes, EPFL, 28.1235, 0.9202
Bench_in_Paris, EPFL, 24.7408, 0.8878
Fountain_&_Bench, EPFL, 29.3095, 0.9153
Friends_1, EPFL, 33.0213, 0.9402
Sphynx, EPFL, 29.1556, 0.8623
Bee_2, INRIA, 32.2311, 0.9372
Duck, INRIA, 26.1294, 0.9233
Fruits, INRIA, 30.7648, 0.9250
Rose, INRIA, 35.6151, 0.9392
Mini, INRIA, 29.6879, 0.8657
Chess, STANFORD, 34.9504, 0.9713
Bunny, STANFORD, 39.3713, 0.9774
Lego Bulldozer, STANFORD, 31.0059, 0.9408
Lego Truck, STANFORD, 34.6447, 0.9570
Lego Knights, STANFORD, 31.9550, 0.9421
