Bikes, EPFL, 25.3301, 0.7956
Bench_in_Paris, EPFL, 20.9972, 0.7179
Fountain_&_Bench, EPFL, 25.4174, 0.7527
Friends_1, EPFL, 29.1519, 0.8618
Sphynx, EPFL, 25.8825, 0.6995
Bee_2, INRIA, 28.7215, 0.8646
Duck, INRIA, 21.6150, 0.7639
Fruits, INRIA, 26.6003, 0.7843
Rose, INRIA, 31.8580, 0.8381
Mini, INRIA, 25.7078, 0.6972
Chess, STANFORD, 28.0322, 0.8694
Bunny, STANFORD, 30.4660, 0.8971
Lego Bulldozer, STANFORD, 24.2869, 0.7902
Lego Truck, STANFORD, 28.5543, 0.8480
Lego Knights, STANFORD, 25.2029, 0.7890
