Bikes, EPFL, 26.8358, 0.8273
Bench_in_Paris, EPFL, 21.9812, 0.7612
Fountain_&_Bench, EPFL, 26.3480, 0.7858
Friends_1, EPFL, 30.4632, 0.8799
Sphynx, EPFL, 27.1371, 0.7469
Bee_2, INRIA, 29.9116, 0.8616
Duck, INRIA, 22.4938, 0.7854
Fruits, INRIA, 27.2998, 0.7978
Rose, INRIA, 33.0475, 0.8648
Mini, INRIA, 26.3864, 0.7216
Chess, STANFORD, 28.1517, 0.8441
Bunny, STANFORD, 31.8910, 0.9048
Lego Bulldozer, STANFORD, 24.3532, 0.7588
Lego Truck, STANFORD, 29.1422, 0.8589
Lego Knights, STANFORD, 24.0330, 0.7113
