Bikes, EPFL, 26.2842, 0.8171
Bench_in_Paris, EPFL, 21.5023, 0.7473
Fountain_&_Bench, EPFL, 26.1598, 0.7884
Friends_1, EPFL, 30.1047, 0.8759
Sphynx, EPFL, 26.6177, 0.7249
Bee_2, INRIA, 29.8520, 0.8762
Duck, INRIA, 22.2488, 0.7914
Fruits, INRIA, 27.5300, 0.8030
Rose, INRIA, 32.5711, 0.8511
Mini, INRIA, 26.2991, 0.7117
Chess, STANFORD, 28.7716, 0.8807
Bunny, STANFORD, 31.5736, 0.9060
Lego Bulldozer, STANFORD, 25.0013, 0.8096
Lego Truck, STANFORD, 29.1547, 0.8614
Lego Knights, STANFORD, 26.0447, 0.8058
