Bikes, EPFL, 27.4867, 0.8511
Bench_in_Paris, EPFL, 21.8138, 0.7693
Fountain_&_Bench, EPFL, 24.1710, 0.7036
Friends_1, EPFL, 31.5373, 0.8967
Sphynx, EPFL, 27.2522, 0.7469
Bee_2, INRIA, 29.0727, 0.8498
Duck, INRIA, 22.2708, 0.7807
Fruits, INRIA, 26.7302, 0.8126
Rose, INRIA, 32.6744, 0.8640
Mini, INRIA, 27.1472, 0.7532
Chess, STANFORD, 27.3214, 0.8707
Bunny, STANFORD, 32.2519, 0.9201
Lego Bulldozer, STANFORD, 22.8766, 0.7697
Lego Truck, STANFORD, 29.4127, 0.8791
Lego Knights, STANFORD, 24.7981, 0.7871
