Bikes, EPFL, 27.0940, 0.8241
Bench_in_Paris, EPFL, 21.7465, 0.7521
Fountain_&_Bench, EPFL, 25.8417, 0.7637
Friends_1, EPFL, 30.9105, 0.8787
Sphynx, EPFL, 26.8284, 0.7188
Bee_2, INRIA, 30.3039, 0.8786
Duck, INRIA, 22.5171, 0.7978
Fruits, INRIA, 27.2017, 0.7992
Rose, INRIA, 32.1074, 0.8415
Mini, INRIA, 26.7606, 0.7202
Chess, STANFORD, 28.5520, 0.8797
Bunny, STANFORD, 32.2345, 0.9106
Lego Bulldozer, STANFORD, 24.9255, 0.8062
Lego Truck, STANFORD, 29.0595, 0.8603
Lego Knights, STANFORD, 25.8158, 0.8055
