Bikes, EPFL, 28.7340, 0.8838
Bench_in_Paris, EPFL, 23.0706, 0.8220
Fountain_&_Bench, EPFL, 28.2814, 0.8682
Friends_1, EPFL, 32.1655, 0.9152
Sphynx, EPFL, 28.4521, 0.7968
Bee_2, INRIA, 32.2363, 0.9174
Duck, INRIA, 24.1908, 0.8653
Fruits, INRIA, 29.8716, 0.8787
Rose, INRIA, 35.0032, 0.9105
Mini, INRIA, 28.0343, 0.7859
Chess, STANFORD, 30.8819, 0.9258
Bunny, STANFORD, 34.1433, 0.9407
Lego Bulldozer, STANFORD, 27.1021, 0.8707
Lego Truck, STANFORD, 30.9856, 0.9054
Lego Knights, STANFORD, 28.2399, 0.8737
