Bikes, EPFL, 29.2702, 0.8915
Bench_in_Paris, EPFL, 23.5612, 0.8364
Fountain_&_Bench, EPFL, 28.3327, 0.8622
Friends_1, EPFL, 32.4980, 0.9190
Sphynx, EPFL, 29.0480, 0.8203
Bee_2, INRIA, 32.3356, 0.9082
Duck, INRIA, 24.5127, 0.8631
Fruits, INRIA, 29.4247, 0.8676
Rose, INRIA, 35.2092, 0.9152
Mini, INRIA, 28.2256, 0.7986
Chess, STANFORD, 30.1707, 0.9001
Bunny, STANFORD, 34.5607, 0.9424
Lego Bulldozer, STANFORD, 26.0000, 0.8192
Lego Truck, STANFORD, 30.9230, 0.9040
Lego Knights, STANFORD, 25.8058, 0.7906
